Dec,Inc
8.97,52.65
6.48,49.97
3.24,52.09
5.04,56.08
6.76,55.59
6.73,51.16
7.62,46.63
6.55,46.85
3.63,48.83
1.41,48.68
0.1,48.3
0.1,48.12
0.03,46.47
359.79,44.68
2.98,48.19
7.61,49.29
7.17,50.77
8.75,51.9
10.5,51.02
8.61,46.49
7.77,47.86
4.31,50.39
1.22,54.78
0.68,57.95
2.38,55.53
3.13,52.71
3.96,48.23
5.12,48.24
5.95,46.19
6.05,47.93
0.2,46.59
354.4,45.24
357.56,46.61
0.87,45.01
358.7,47.51
359.64,52.17
2.31,53.9
3.31,56.78
1.23,56.27
357.82,55.61
356.42,57.62
357.13,54.68
357.45,54.13
353.02,55.13
357.62,54.85
0.99,57.19
358.32,57.18
1.87,56.34
0.28,54.56
0.49,51.78
3.74,50.5
2.99,50.96
1.01,52.8
0.8,52.98
359.56,51.64
357.13,50.11
355.32,49.03
354.52,48.18
352.79,49
351.99,48.05
353.77,49.36
353.7,50.95
351.32,53.08
352.87,51.94
355.79,50.95
354.78,49.42
354.88,46.15
357.23,46.04
357.13,44.2
359.24,44.85
1.72,44.25
1.33,43.18
356.86,46.7
357.86,46.57
2.85,44.74
5.85,44
7.28,49.62
8.71,53.67
7.34,53.91
2.71,53.02
0.95,52.87
359.77,52.33
0.01,50.39
1.3,51.36
3.06,53.28
5.83,52.72
6.43,54.08
3.84,49.77
2.57,45.05
3.43,47.93
355.58,55.16
352.76,59.94
353.38,58.94
356.48,58.27
359.51,56.25
1.61,54.34
1.39,54.45
3.6,55.96
10.25,56.51
14.3,58.59